'YangMills.OS.WilsonCylinder.geometry' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.reflectionEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.reflect_measurePreserving' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.secondCountable' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.haar' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.rightInvariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.invInvariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.sliceHaar_probability' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.haarMeasure_probability' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.haar_reflect_measurePreserving' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.logDensity_eq_neg_wilsonAction' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.density_eq_wilson_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.continuous_density' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.density_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.density_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.density_reflect' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.partition_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.gibbsMeasure_probability' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.continuous_integrable_gibbs' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.integral_gibbs_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.integral_reflect' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.reflectedForm_eq_productHaar' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.boundaryEdge_src' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.boundaryEdge_dst' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.fromGaugeConfig_toGaugeConfig' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.toGaugeConfig_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.plaquetteHolonomy_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.plaquetteHolonomy_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.face0_eq_square' depends on axioms: [propext]
'YangMills.OS.WilsonCylinder.face1_eq_square' depends on axioms: [propext]
'YangMills.OS.WilsonCylinder.reflect_involutive' depends on axioms: [propext]
'YangMills.OS.WilsonCylinder.reflectEdge_involutive' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.reflectEdge_src' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.reflectEdge_dst' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.toGaugeConfig_reflect' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.face0_reflect' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.face1_reflect' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.face0_eq_relative_gaugeUpper' depends on axioms: [propext, Classical.choice, Quot.sound]
'YangMills.OS.WilsonCylinder.face1_eq_relative_gaugeUpper' depends on axioms: [propext, Classical.choice, Quot.sound]
