claim_id,citation_key,source_id,short,status,equations,source_verified,exactness,confidence,statement,formula_ascii,conclusion
cmp116.c3.visual,cmp116.constants.c3-alpha5,cmp116,Balaban CMP116,visual_confirmed,"2.37, 2.38",True,normalized_formula,visual,Visual normalized transcription of C3.,C3 = 2*(L+2)^4*O(1)*2*E0*C1*alpha4^(-1)*alpha6^(-1)*M^q*exp(C2*kappa1),
cmp116.eq229.main,cmp116.eq229.d-stage-summability,cmp116,Balaban CMP116,visual_confirmed,"2.27, 2.28, 2.29, 2.30",True,normalized_formula,visual,Displayed Eq. (2.29) D-family product-sum bound.,sum_D prod_{Y in D} alpha6 * exp(-delta*kappa*d_k(Y)) <= 1,
cmp116.eq230.metric,cmp116.eq229.d-stage-summability,cmp116,Balaban CMP116,visual_confirmed,"2.27, 2.28, 2.29, 2.30",True,normalized_formula,visual,Adjacent localization-domain metric comparison.,(3*2^3)^(-1)*M^(-4)*|Y| <= d_k(Y) <= M^(-4)*|Y| - 1,
cmp116.eq231.rho,cmp116.eq231.p-bond-sum,cmp116,Balaban CMP116,visual_confirmed,2.31,True,normalized_formula,visual,Rate used in the P-sum.,rho = gamma2*epsilon1^2/(20*gk^2),
cmp116.eq231.entropy,cmp116.eq231.p-bond-sum,cmp116,Balaban CMP116,visual_confirmed,2.31,True,normalized_formula,visual,Displayed powerset/cardinality bound.,exp(-M^(-4)*|Z0\Y0|*(rho - 4*M^4*exp(-2*rho))) <= 1,
cmp116.eq231.p-lower,cmp116.eq231.p-bond-sum,cmp116,Balaban CMP116,visual_confirmed,2.31,True,normalized_formula,visual,Lower bound on the size of a source P set.,|P| >= (1/2)*M^(-4)*|Z0\Y0|,
cmp116.eq238.activity,cmp116.lemma3.final-2.38,cmp116,Balaban CMP116,visual_confirmed,2.38,True,normalized_formula,visual,Final activity bound.,|H(Z)| <= C3*epsilon1*exp(-((1-8*delta)/2)*L*kappa*d_(k+1)(Z)),
cmp119.eq231.r,cmp119.r-term-bound.2.31,cmp119,Balaban CMP119,visual_confirmed,2.31,True,normalized_formula,visual,Localized R-term bound.,"|R^(j)(X,(U,J))| <= g_j^kappa0*exp(-kappa*d_j(X))",
cmp122i.eq1.70.bound,cmp122i.large-field-c-bound.1.70,cmp122_i,Balaban CMP122-I,visual_confirmed,1.70,True,normalized_formula,visual,For each term C_k^(n)(X U_k^(n)) in the representation (1.63) the analytic extension on the stated U-bar space satisfies the large-field bound.,"|C_k^(n)(X,(U,J))| <= C_0 * exp(-(1+3*beta)*kappa*d_m(X))",
cmp122ii.eq1.98.exponentiation,cmp122ii.rprime-bound.1.98-1.100,cmp122_ii,Balaban CMP122-II,visual_confirmed,"1.98, 1.99, 1.100",True,normalized_formula,visual,The exponentiated cluster expansion is written as exp R'^(k) = exp of the sum over localized R'^(k)(X) terms.,"{...} = exp R'^(k) = exp (sum_X R'^(k)(X))",
cmp122ii.eq1.99.bound,cmp122ii.rprime-bound.1.98-1.100,cmp122_ii,Balaban CMP122-II,visual_confirmed,"1.98, 1.99, 1.100",True,normalized_formula,visual,The localized R'^(k)(X) term has an analytic extension and satisfies the page's pre-split bound with c_1.,"|R'^(k)(X,(U,J))| <= O(1) * c_1 * exp(-(1+1/8)*kappa*d_{k, union Y_i}(X))",
cmp122ii.eq1.100.bound,cmp122ii.rprime-bound.1.98-1.100,cmp122_ii,Balaban CMP122-II,visual_confirmed,"1.98, 1.99, 1.100",True,normalized_formula,visual,"For the second group, whose localization domains are disjoint from the indicated large-field region, c_1 is exp(-p_0(g_k)) and the linear size in (1.99) is replaced by d_k(X).","|R'^(k)(X,(U,J))| <= exp(-p_0(g_k)) * exp(-kappa*d_k(X))",
dimocki.eq297.raw-activity,dimocki.cluster-expansion.theorem27.296-299,dimock_i,Dimock I,source_extracted,"296, 297, 298, 299",True,normalized_formula,cross_checked,Input activity decay.,"|H(X,Phi)| <= H0*exp(-kappa*d_M(X))",Input to Theorem 27.
dimocki.eq299.hsharp-decay,dimocki.cluster-expansion.theorem27.296-299,dimock_i,Dimock I,source_extracted,"296, 297, 298, 299",True,normalized_formula,cross_checked,Output connected activity decay.,|H#(Y)| <= O(1)*H0*exp(-(kappa-3*kappa0-3)*d_M(Y)),Xi = exp(sum_Y H#(Y)).
dimocki.eq334.c-resolvent-identity,dimocki.covariance-resolvent.334-335,dimock_i,Dimock I,source_extracted,"334, 335",True,normalized_formula,text_checked,Resolvent decomposition.,"C_(k,r) = A_(k,r) + a_k^2 * A_(k,r) * Q_k * G_(k,r) * Q_k^T * A_(k,r)",Eq. (334).
dimocki.eq335.green-resolvent,dimocki.covariance-resolvent.334-335,dimock_i,Dimock I,source_extracted,"334, 335",True,normalized_formula,text_checked,Definition of the Green operator in Lemma 28.,"G_(k,r) = (-Delta + mu_bar_k + a_k*Q_k^T*Q_k - a_k^2*Q_k^T*A_(k,r)*Q_k)^(-1)",Eq. (335).
dimocki.eq67.covariance,dimocki.gaussian-normalization.66-74,dimock_i,Dimock I,source_extracted,"66, 67, 68, 69, 70, 72, 73, 74",True,normalized_formula,text_checked,Fluctuation covariance after expansion at the minimizer.,C_k = (Delta_k + (a/L^2) * Q^T * Q)^(-1),Defines the Gaussian covariance in Eq. (66).
dimocki.eq74.normalization,dimocki.gaussian-normalization.66-74,dimock_i,Dimock I,source_extracted,"66, 67, 68, 69, 70, 72, 73, 74",True,normalized_formula,text_checked,One-step scaled normalization factor.,"Z_(k+1) = Z_k * N_(a,T^1_(M+N-k))^(-1) * (2*pi)^(|T^0_(M+N-k)|/2) * (det C_k)^(1/2)",Global normalization recursion.
dimocki.eq289.size-summability,dimocki.lemma25.polymer-summability.289-290,dimock_i,Dimock I,source_extracted,"289, 290",True,verbatim_formula,cross_checked,Pinned polymer summability by block cardinality.,sum_{X: X contains Box} exp(-a*|X|_M) <= b,Uniform pinned size summability.
dimocki.eq290.metric-summability,dimocki.lemma25.polymer-summability.289-290,dimock_i,Dimock I,source_extracted,"289, 290",True,verbatim_formula,cross_checked,Pinned polymer summability by tree distance.,sum_{X: X contains Box} exp(-kappa_0*d_M(X)) <= K_0,Uniform pinned metric summability.
dimocki.eq84.green-random-walk,dimocki.lemma6.random-walk-green.84-85,dimock_i,Dimock I,source_extracted,"84, 85",True,verbatim_formula,cross_checked,Green-function random-walk expansion.,"G_k = sum_omega G_{k,omega}",Decomposes the Green operator into localized walk contributions.
dimocki.eq85.green-decay,dimocki.lemma6.random-walk-green.84-85,dimock_i,Dimock I,source_extracted,"84, 85",True,normalized_formula,cross_checked,Block-distance estimates for the Green operator and derivatives.,"|(G_k f)(x)|, |(partial G_k f)(x)|, |(delta_alpha partial G_k f)(x,x')| <= C*exp(-(gamma_0/2)*d(y,y'))*||f||_infty",Uniform exponential localization in the block metric.
dimocki.eq293.pinned-metric-sum,dimocki.polymer-summability.corollary26.292-295,dimock_i,Dimock I,source_extracted,"292, 293, 294, 295",True,normalized_formula,text_checked,Pinned-cube metric summability.,sum_{X superset square} exp(-kappa0*d(X)) <= K0,Uniform finite pinned-cube metric sum.
dimocki.eq294.intersection-sums,dimocki.polymer-summability.corollary26.292-295,dimock_i,Dimock I,source_extracted,"292, 293, 294, 295",True,normalized_formula,text_checked,Target-intersection volume bounds.,sum_{X: X intersect Y != empty} exp(-a*|X|_M) <= b*|Y|_M; sum_{X: X intersect Y != empty} exp(-kappa0*d_M(X)) <= K0*|Y|_M,Local geometric summability proportional to target volume.
dimocki.eq236.small-field-exponentiation,dimocki.small-field-cluster.235-237,dimock_i,Dimock I,source_extracted,"235, 236, 237",True,normalized_formula,text_checked,Local exponential representation of the fluctuation integral.,"Xi'_k(phi) = exp(sum_{Y in D^0_(k+1)} E#_k(Y,phi))",Eq. (236).
dimocki.eq237.small-field-activity-decay,dimocki.small-field-cluster.235-237,dimock_i,Dimock I,source_extracted,"235, 236, 237",True,normalized_formula,text_checked,Decay of the cluster-expanded small-field activity.,"|E#_k(Y,phi)| <= O(1)*L^3*lambda_k^(1/4-10*epsilon)*exp(-L*(kappa-5*kappa0-5)*d_LM(Y))",Eq. (237).
