nu, c, rho'', B'', D''
0, 0.501, -3.1745211e-08, -6.3553913e-08, 3.1808702e-08
0, 0.51, -2.955714e-05, -5.9705424e-05, 3.0148283e-05
0, 0.55, -0.0027183592, -0.0057085544, 0.0029901952
0, 0.6, -0.015120307, -0.033264676, 0.018144368
0, 0.7, -0.061075561, -0.14658135, 0.085505786
0, 0.8, -0.10546875, -0.27421875, 0.16875
0, 0.9, -0.11705533, -0.32775492, 0.21069959
0, 0.95, -0.097532626, -0.28284461, 0.18531199
0, 0.99, -0.048744436, -0.14525842, 0.096513983
0, 0.999, -0.015771842, -0.047283982, 0.03151214
0.1, 0.501, -2.2059961e-08, -4.4164041e-08, 2.210408e-08
0.1, 0.51, -2.0660608e-05, -4.1734428e-05, 2.107382e-05
0.1, 0.55, -0.0019462809, -0.0040871898, 0.002140909
0.1, 0.6, -0.011108797, -0.024439353, 0.013330556
0.1, 0.7, -0.046760976, -0.11222634, 0.065465367
0.1, 0.8, -0.083333333, -0.21666667, 0.13333333
0.1, 0.9, -0.094814815, -0.26548148, 0.17066667
0.1, 0.95, -0.079839632, -0.23153493, 0.1516953
0.1, 0.99, -0.040210775, -0.11982811, 0.079617335
0.1, 0.999, -0.013032208, -0.03907056, 0.026038352
0.5, 0.501, -7.9521675e-09, -1.5920239e-08, 7.9680719e-09
0.5, 0.51, -7.536332e-06, -1.5223391e-05, 7.6870586e-06
0.5, 0.55, -0.00074585367, -0.0015662927, 0.00082043903
0.5, 0.6, -0.0044986038, -0.0098969283, 0.0053983245
0.5, 0.7, -0.020782656, -0.049878375, 0.029095719
0.5, 0.8, -0.039940828, -0.10384615, 0.063905325
0.5, 0.9, -0.048374906, -0.13544974, 0.08707483
0.5, 0.95, -0.041865967, -0.1214113, 0.079545337
0.5, 0.99, -0.02151904, -0.064126741, 0.0426077
0.5, 0.999, -0.0070050321, -0.021001086, 0.013996054
1, 0.501, -3.5366517e-09, -7.0803767e-09, 3.543725e-09
1, 0.51, -3.3716996e-06, -6.8108332e-06, 3.4391336e-06
1, 0.55, -0.00034227, -0.00071876699, 0.000376497
1, 0.6, -0.0021262932, -0.004677845, 0.0025515518
1, 0.7, -0.010355372, -0.024852893, 0.014497521
1, 0.8, -0.020833333, -0.054166667, 0.033333333
1, 0.9, -0.026264492, -0.073540577, 0.047276085
1, 0.95, -0.023148769, -0.067131431, 0.043982661
1, 0.99, -0.012063943, -0.035950551, 0.023886608
1, 0.999, -0.0039390166, -0.011809172, 0.0078701551
2, 0.501, -1.2738735e-09, -2.5502947e-09, 1.2764212e-09
2, 0.51, -1.2202683e-06, -2.4649419e-06, 1.2446737e-06
2, 0.55, -0.00012645962, -0.0002655652, 0.00013910558
2, 0.6, -0.00080522345, -0.0017714916, 0.00096626814
2, 0.7, -0.004105216, -0.0098525185, 0.0057473025
2, 0.8, -0.0086096939, -0.022385204, 0.01377551
2, 0.9, -0.011274056, -0.031567358, 0.020293302
2, 0.95, -0.010114702, -0.029332636, 0.019217934
2, 0.99, -0.0053438353, -0.015924629, 0.010580794
2, 0.999, -0.0017500903, -0.0052467708, 0.0034966805
5, 0.501, -2.6331184e-10, -5.271503e-10, 2.6383846e-10
5, 0.51, -2.5322091e-07, -5.1150624e-07, 2.5828533e-07
5, 0.55, -2.6696004e-05, -5.6061609e-05, 2.9365605e-05
5, 0.6, -0.00017357495, -0.0003818649, 0.00020828994
5, 0.7, -0.00092111496, -0.0022106759, 0.0012895609
5, 0.8, -0.0020065398, -0.0052170036, 0.0032104637
5, 0.9, -0.0027237809, -0.0076265867, 0.0049028057
5, 0.95, -0.0024863553, -0.0072104305, 0.0047240751
5, 0.99, -0.0013315019, -0.0039678757, 0.0026363738
5, 0.999, -0.00043737673, -0.0013112554, 0.0008738787
10, 0.501, -7.2259068e-11, -1.4466266e-10, 7.2403587e-11
10, 0.51, -6.9598092e-08, -1.4058815e-07, 7.0990054e-08
10, 0.55, -7.3880072e-06, -1.5514815e-05, 8.1268079e-06
10, 0.6, -4.844527e-05, -0.00010657959, 5.8134324e-05
10, 0.7, -0.00026139423, -0.00062734614, 0.00036595192
10, 0.8, -0.0005787037, -0.0015046296, 0.00092592593
10, 0.9, -0.00079803733, -0.0022345045, 0.0014364672
10, 0.95, -0.0007341231, -0.002128957, 0.0013948339
10, 0.99, -0.00039554878, -0.0011787354, 0.00078318659
10, 0.999, -0.0001301089, -0.00039006647, 0.00025995757
50, 0.501, -3.1243071e-12, -6.2548629e-12, 3.1305557e-12
50, 0.51, -3.0133393e-09, -6.0869453e-09, 3.073606e-09
50, 0.55, -3.2180287e-07, -6.7578602e-07, 3.5398315e-07
50, 0.6, -2.1259942e-06, -4.6771873e-06, 2.5511931e-06
50, 0.7, -1.1642537e-05, -2.7942089e-05, 1.6299552e-05
50, 0.8, -2.6156302e-05, -6.8006386e-05, 4.1850084e-05
50, 0.9, -3.6596591e-05, -0.00010247046, 6.5873864e-05
50, 0.95, -3.3908513e-05, -9.8334689e-05, 6.4426175e-05
50, 0.99, -1.8374918e-05, -5.4757256e-05, 3.6382338e-05
50, 0.999, -6.0518768e-06, -1.8143527e-05, 1.209165e-05
100, 0.501, -7.8888357e-13, -1.5793449e-12, 7.9046133e-13
100, 0.51, -7.6099924e-10, -1.5372185e-09, 7.7621922e-10
100, 0.55, -8.1333241e-08, -1.7079981e-07, 8.9466565e-08
100, 0.6, -5.378574e-07, -1.1832863e-06, 6.4542888e-07
100, 0.7, -2.9512405e-06, -7.0829772e-06, 4.1317367e-06
100, 0.8, -6.6432823e-06, -1.7272534e-05, 1.0629252e-05
100, 0.9, -9.3130915e-06, -2.6076656e-05, 1.6763565e-05
100, 0.95, -8.6374288e-06, -2.5048544e-05, 1.6411115e-05
100, 0.99, -4.6842352e-06, -1.3959021e-05, 9.2747857e-06
100, 0.999, -1.5430473e-06, -4.6260559e-06, 3.0830086e-06
SUMMARY: tested 90, D''<=0 at 0 points
