PROVENANCE git_head 8b4a17c0681601d0d433ed769d23ce8daa8269a9
PROVENANCE python 3.12.6
PROVENANCE python_flint 0.9.0
PROVENANCE arb_bits 140
DEPENDENCY scripts/certify_right_edge_beta_taylor_cached_extension.py 54b7f122f62d60c0a7a6f2f875708ea5be9161df1939a1db815910d62a02495b
DEPENDENCY scripts/certify_right_edge_beta_taylor_cached_design.py 205a83c5487cc936a2f91ce6551ca2f44fa78f983beb21b0d572e95b6549c9b4
DEPENDENCY scripts/certify_right_edge_beta_taylor_arb.py d614f97a120b13b8cb02b00f6906fd76780c6c329062cdc71fec499083137cdc
DEPENDENCY scripts/certify_bulk_beta_taylor_arb.py f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
CONFIG unit 20_22p62 beta 20/1 1131/50 step 1/100 splice 1/1000 beta_order 12 d_order 9 CWIN 3/2
beta-box [20.0,20.01]: normalized=1 regular=16
beta-box [20.01,20.02]: normalized=1 regular=16
beta-box [20.02,20.03]: normalized=1 regular=16
beta-box [20.03,20.04]: normalized=1 regular=16
beta-box [20.04,20.05]: normalized=1 regular=16
beta-box [20.05,20.06]: normalized=1 regular=16
beta-box [20.06,20.07]: normalized=1 regular=16
beta-box [20.07,20.08]: normalized=1 regular=16
beta-box [20.08,20.09]: normalized=1 regular=16
beta-box [20.09,20.1]: normalized=1 regular=16
beta-box [20.1,20.11]: normalized=1 regular=16
beta-box [20.11,20.12]: normalized=1 regular=16
beta-box [20.12,20.13]: normalized=1 regular=16
beta-box [20.13,20.14]: normalized=1 regular=16
beta-box [20.14,20.15]: normalized=1 regular=16
beta-box [20.15,20.16]: normalized=1 regular=16
beta-box [20.16,20.17]: normalized=1 regular=16
beta-box [20.17,20.18]: normalized=1 regular=16
beta-box [20.18,20.19]: normalized=1 regular=16
beta-box [20.19,20.2]: normalized=1 regular=16
beta-box [20.2,20.21]: normalized=1 regular=16
beta-box [20.21,20.22]: normalized=1 regular=16
beta-box [20.22,20.23]: normalized=1 regular=16
beta-box [20.23,20.24]: normalized=1 regular=16
beta-box [20.24,20.25]: normalized=1 regular=16
beta-box [20.25,20.26]: normalized=1 regular=16
beta-box [20.26,20.27]: normalized=1 regular=16
beta-box [20.27,20.28]: normalized=1 regular=16
beta-box [20.28,20.29]: normalized=1 regular=16
beta-box [20.29,20.3]: normalized=1 regular=16
beta-box [20.3,20.31]: normalized=1 regular=16
beta-box [20.31,20.32]: normalized=1 regular=16
beta-box [20.32,20.33]: normalized=1 regular=16
beta-box [20.33,20.34]: normalized=1 regular=16
beta-box [20.34,20.35]: normalized=1 regular=16
beta-box [20.35,20.36]: normalized=1 regular=16
beta-box [20.36,20.37]: normalized=1 regular=17
