SCALED BULK SIGN ROW UNIT CWIN3P2 MID GENERIC
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head bc5b6375cf9744e2b0e2cbfd033b86bdc9facfaf
unit codex-mid24-48p5-48p75-20260723
config CWIN 3/2 beta_order 24 t_order 25 min_dt 1/100000 prec 180
beta_domain 97/2 195/4
t_domain 3/5 404407051/130000000
cache_entries 261
dependency scripts/certify_surface_scaled_bulk_cwin3p2_mid_generic.py sha256 58a2964b44cfc9e868bd5e77448a53b91b05ec3a140e35d1d520576aeadc9dba
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-PREREG-20260722.md sha256 b3d2834255ecb83ff4ddb907b5d834daee958f2091f11b97c05b82657fa8814a
trow 0 3/5 2822407051/4160000000 upper [-2.9062577745175537498873826637714992602344787222916513173771761389905929273693320e-10 +/- 1.27e-90]
trow 1 2822407051/4160000000 1574407051/2080000000 upper [-7.8039258778643973016217049722963891072777709250063621156206326989561548657397099e-11 +/- 3.12e-91]
trow 2 1574407051/2080000000 3475221153/4160000000 upper [-1.3065112285949275320257224236156185218095843241313152283121736858754050560076635e-11 +/- 1.13e-91]
trow 3 3475221153/4160000000 7276849357/8320000000 upper [-1.6763235814373145957446623398232280898916720412172942737082562797139412185684200e-11 +/- 3.97e-91]
trow 4 7276849357/8320000000 950407051/1040000000 upper [-7.9092154865178686602957054909447113359973504976570649471661233930635410181302786e-12 +/- 4.92e-92]
trow 5 950407051/1040000000 7929663459/8320000000 upper [-3.5604000040047594668370767325063425336303511590625134873856417200756380335540034e-12 +/- 1.12e-92]
trow 6 7929663459/8320000000 825607051/832000000 upper [-1.5287522498421835138456950231996577139988196479416002308081480361134290400177951e-12 +/- 1.53e-92]
trow 7 825607051/832000000 8582477561/8320000000 upper [-6.2577572784960853662908567535786003711206346001095028314894394535155970742737297e-13 +/- 3.61e-93]
trow 8 8582477561/8320000000 2227221153/2080000000 upper [-2.4398919646356081672432019351828499922674582008754443871418679591886653157435724e-13 +/- 4.10e-93]
trow 9 2227221153/2080000000 710407051/640000000 upper [-9.0495402778348872167876892489027159874561478944942283936509998400836361890799071e-14 +/- 4.20e-94]
trow 10 710407051/640000000 4780849357/4160000000 upper [-3.1867352878670306219095179179864064504363544154931348171836788508560372206966866e-14 +/- 1.64e-94]
trow 11 4780849357/4160000000 1977621153/1664000000 upper [-1.0623754937168600124579977190968055501772979462061245856610840207424964351916751e-14 +/- 2.61e-94]
