SCALED BULK SIGN ROW UNIT CWIN3P2 MID GENERIC
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head f49b2ed398b695c1fef404e86ee445596a91bbcf
unit codex_mid24_62p75_63_20260723
config CWIN 3/2 beta_order 24 t_order 25 min_dt 1/100000 prec 180
beta_domain 251/4 63
t_domain 3/5 654734467/210000000
cache_entries 291
dependency scripts/certify_surface_scaled_bulk_cwin3p2_mid_generic.py sha256 58a2964b44cfc9e868bd5e77448a53b91b05ec3a140e35d1d520576aeadc9dba
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-PREREG-20260722.md sha256 b3d2834255ecb83ff4ddb907b5d834daee958f2091f11b97c05b82657fa8814a
trow 0 3/5 4560734467/6720000000 upper [-2.2087737982024983792810209810704799628957792578144448306764607741447502912068642e-11 +/- 7.62e-92]
trow 1 4560734467/6720000000 3216734467/4480000000 upper [-2.3527699075423270056748500175488998597722562275574325203866303630134479206645191e-11 +/- 2.21e-92]
trow 2 3216734467/4480000000 2544734467/3360000000 upper [-1.0614307497912601667857380615455060205286039177745049031433398084241475961976980e-11 +/- 4.10e-91]
trow 3 2544734467/3360000000 2141534467/2688000000 upper [-4.4895481474886902697967941149312768762991060842659492394643828433905344184589748e-12 +/- 4.46e-92]
trow 4 2141534467/2688000000 1872734467/2240000000 upper [-1.7786645151464335981510331193363416848154644521039939835324963683090932059134734e-12 +/- 4.38e-92]
trow 5 1872734467/2240000000 1680734467/1920000000 upper [-6.5888686345065710420812307606679098529983931017854705960268346847360045572913501e-13 +/- 3.13e-93]
trow 6 1680734467/1920000000 1536734467/1680000000 upper [-2.2756644101278724405250564835296168330286724260921431796093523385585039177311695e-13 +/- 3.00e-93]
trow 7 1536734467/1680000000 4274203401/4480000000 upper [-7.2940537671159850346014477692757023386952988567548802817707375963977922894035201e-14 +/- 1.70e-94]
trow 8 4274203401/4480000000 1335134467/1344000000 upper [-2.1530162931258128369422436271707898284289326700247342459048335721058026451133406e-14 +/- 1.50e-94]
trow 9 1335134467/1344000000 13880079137/13440000000 upper [-5.7735530524449503452608028246642117785346216147879024518981576932718665768499023e-15 +/- 8.92e-96]
trow 10 13880079137/13440000000 1200734467/1120000000 upper [-1.3694972563769250173084483339326574001857295808921182345027821953479507574509962e-15 +/- 2.69e-95]
trow 11 1200734467/1120000000 14937548071/13440000000 upper [-2.6966030746761961601037565078275596697458589071945440485933835140823345029693746e-16 +/- 4.28e-96]
