SCALED BULK SIGN ROW UNIT CWIN3P2 MID GENERIC
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head f49b2ed398b695c1fef404e86ee445596a91bbcf
unit codex_mid24_63_63p25_20260723
config CWIN 3/2 beta_order 24 t_order 25 min_dt 1/100000 prec 180
beta_domain 63 253/4
t_domain 3/5 7888229531/2530000000
cache_entries 291
dependency scripts/certify_surface_scaled_bulk_cwin3p2_mid_generic.py sha256 58a2964b44cfc9e868bd5e77448a53b91b05ec3a140e35d1d520576aeadc9dba
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-PREREG-20260722.md sha256 b3d2834255ecb83ff4ddb907b5d834daee958f2091f11b97c05b82657fa8814a
trow 0 3/5 54946229531/80960000000 upper [-2.0874903651701530539908965592327241480674722473624758116788293636424220674590293e-11 +/- 3.67e-91]
trow 1 54946229531/80960000000 116262688593/161920000000 upper [-2.2637327883067761392750951218580915561658662065741594574411353573532130733409879e-11 +/- 2.46e-91]
trow 2 116262688593/161920000000 30658229531/40480000000 upper [-1.0168793974001143525943339032702522647769471891949957781460394394180631958142667e-11 +/- 1.37e-91]
trow 3 30658229531/40480000000 25800629531/32384000000 upper [-4.2811181874172257524478077649621082524952795328630270862804713324797266520543514e-12 +/- 1.27e-92]
trow 4 25800629531/32384000000 67686688593/80960000000 upper [-1.6875072433363665322691243330000256643058289808960211181143481053138953710757179e-12 +/- 4.32e-93]
trow 5 67686688593/80960000000 141743606717/161920000000 upper [-6.2164562654743843087509199446770127174649633528423105308393972265002468207365687e-13 +/- 1.24e-93]
trow 6 141743606717/161920000000 18514229531/20240000000 upper [-2.1337590062513572587199838048249362568078189466644531938581714922915108108359708e-13 +/- 1.06e-93]
trow 7 18514229531/20240000000 154484065779/161920000000 upper [-6.7910402125040105561477653113291631170301445994935620303341614982037348223717259e-14 +/- 6.50e-95]
trow 8 154484065779/161920000000 16085429531/16192000000 upper [-1.9878629263441573947406082213418670887699284314073237778630468462592849503754840e-14 +/- 1.03e-94]
trow 9 16085429531/16192000000 15202229531/14720000000 upper [-5.2749308935986602519135857486923804826918924037387944906151612967680663589128065e-15 +/- 5.69e-96]
trow 10 15202229531/14720000000 43398688593/40480000000 upper [-1.2328305447379183397793046149966911621918295689928716258274904858773650869636702e-15 +/- 4.83e-96]
trow 11 43398688593/40480000000 179964983903/161920000000 upper [-2.3649492499130124834134467223431863105210279388603381538251155192125576741558587e-16 +/- 4.21e-96]
