SCALED BULK SIGN ROW UNIT CWIN3P2 MID COVER
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head c2f03caa5af73629f584b41c756dd4a43b243b23
unit mid_cover_08_201_4_101_2
config CWIN 3/2 beta_order 20 t_order 25 min_dt 1/100000 prec 180
beta_domain 201/4 101/2
t_domain 3/5 3143008627/1010000000
cache_entries 257
dependency scripts/run_surface_scaled_bulk_cwin3p2_mid_cover.py sha256 ec105ab8a24be741cc3dc7f5d3dd77a684f1234c1cdc7b15062b8dcb5c980249
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-COVER-48P25-69-PREREG-20260722.md sha256 40149697fbb5dc15822b7346c3218bb59789095b37107dc13869f2414a90ee9e
trow 0 3/5 21929008627/32320000000 upper [-2.1925183577036918797039938931581899739440750990137499993019339481140973956894105e-10 +/- 4.36e-90]
trow 1 21929008627/32320000000 12233008627/16160000000 upper [-5.2918089365234316876115353435246480608580246752104043964784988365810243595630190e-11 +/- 8.58e-92]
trow 2 12233008627/16160000000 27003025881/32320000000 upper [-6.8149836542102055247343623535223239499876280503585610728382541857474442041694502e-12 +/- 1.17e-92]
trow 3 27003025881/32320000000 56543060389/64640000000 upper [-1.1325198586202753473565925173477551413021010944536353981239822548436895209888160e-11 +/- 3.61e-91]
trow 4 56543060389/64640000000 7385008627/8080000000 upper [-5.1574432624128100483290592309372300383608575697207039411145690550138729283230669e-12 +/- 1.87e-92]
trow 5 7385008627/8080000000 61617077643/64640000000 upper [-2.2358663419048919271296494411419346249847527182753140912813509906828389788216214e-12 +/- 3.20e-93]
trow 6 61617077643/64640000000 6415408627/6464000000 upper [-9.2228411926736017847045798612868511645456889250600413183778853355639171703586773e-13 +/- 1.61e-93]
trow 7 6415408627/6464000000 66691094897/64640000000 upper [-3.6168075628616348521810551335834228739856274277131446323628037626722924001788232e-13 +/- 2.27e-93]
trow 8 66691094897/64640000000 17307025881/16160000000 upper [-1.3466695840081228398431523472924449651079118215982689792169804475893580154042236e-13 +/- 4.93e-93]
trow 9 17307025881/16160000000 71765112151/64640000000 upper [-4.7513666683912062447925117258341348893623085239814736028891711490901455035091765e-14 +/- 2.79e-94]
trow 10 71765112151/64640000000 37151060389/32320000000 upper [-1.5838625229208963003568377243296261557655957360329785683413088729734679661756564e-14 +/- 2.40e-95]
trow 11 37151060389/32320000000 15367825881/12928000000 upper [-4.9658452396662991419634503538026467739531410770385496567951261456386374984596532e-15 +/- 2.26e-95]
