SCALED BULK SIGN ROW UNIT CWIN3P2 MID COVER
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head b63cab47d4b0861c1f2f94d77c45229b70de35e3
unit mid_cover_11_51_205_4
config CWIN 3/2 beta_order 20 t_order 25 min_dt 1/100000 prec 180
beta_domain 51 205/4
t_domain 3/5 1276053007/410000000
cache_entries 259
dependency scripts/run_surface_scaled_bulk_cwin3p2_mid_cover.py sha256 ec105ab8a24be741cc3dc7f5d3dd77a684f1234c1cdc7b15062b8dcb5c980249
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-COVER-48P25-69-PREREG-20260722.md sha256 40149697fbb5dc15822b7346c3218bb59789095b37107dc13869f2414a90ee9e
trow 0 3/5 8902053007/13120000000 upper [-1.9399722906979514411270895435881142388091269767416973823537589956823313378111761e-10 +/- 3.62e-90]
trow 1 8902053007/13120000000 4966053007/6560000000 upper [-4.4525347147340793898146606201300785992929791807826787387994235184751154683360345e-11 +/- 1.88e-91]
trow 2 4966053007/6560000000 10962159021/13120000000 upper [-4.9134068760348506598697164352822451121790789669048672015730811536737478639992517e-12 +/- 1.45e-92]
trow 3 10962159021/13120000000 22954371049/26240000000 upper [-9.5707756727358404766250825308085495542728911638837685094067582256159381048544850e-12 +/- 4.18e-92]
trow 4 22954371049/26240000000 2998053007/3280000000 upper [-4.2920936084495453795597835339140799703608945486942686716776279924599789210787583e-12 +/- 1.81e-92]
trow 5 2998053007/3280000000 25014477063/26240000000 upper [-1.8305301552520608495379535735558967763499774079245817587427855077598779569473233e-12 +/- 1.27e-92]
trow 6 25014477063/26240000000 2604453007/2624000000 upper [-7.4199945882664730543060630410908226882945915956942482431647488872745524545768072e-13 +/- 4.87e-93]
trow 7 2604453007/2624000000 27074583077/26240000000 upper [-2.8556915127550426428885221807670785704412687484086113453532007210246870597233123e-13 +/- 1.26e-93]
trow 8 27074583077/26240000000 7026159021/6560000000 upper [-1.0419005039660308765519372566843390684692451505561600724335314423393294399529295e-13 +/- 1.57e-93]
trow 9 7026159021/6560000000 29134689091/26240000000 upper [-3.5953004055379938459745178351328910866666765317848959608749046751193356841773532e-14 +/- 8.64e-95]
trow 10 29134689091/26240000000 15082371049/13120000000 upper [-1.1692322607549800162065305774809961202064556254531232046774521471444356790496564e-14 +/- 2.22e-94]
trow 11 15082371049/13120000000 6238959021/5248000000 upper [-3.5638863055716209702437424661884221192504900728439944535462284595153156253761897e-15 +/- 2.55e-95]
