SCALED BULK SIGN ROW UNIT CWIN3P2 MID COVER
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head 2e3943f8c587a9e204a18d9ab4dcde2ebf9710f9
unit mid_cover_25_109_2_219_4
config CWIN 3/2 beta_order 20 t_order 25 min_dt 1/100000 prec 180
beta_domain 109/2 219/4
t_domain 3/5 2273362671/730000000
cache_entries 265
dependency scripts/run_surface_scaled_bulk_cwin3p2_mid_cover.py sha256 ec105ab8a24be741cc3dc7f5d3dd77a684f1234c1cdc7b15062b8dcb5c980249
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-COVER-48P25-69-PREREG-20260722.md sha256 40149697fbb5dc15822b7346c3218bb59789095b37107dc13869f2414a90ee9e
trow 0 3/5 15851362671/23360000000 upper [-1.0782584582007256071410252233450674935991633366993525255966009059124574666005570e-10 +/- 4.70e-90]
trow 1 15851362671/23360000000 8843362671/11680000000 upper [-1.8469308213492194392753663223924982646442431202559034696994662737008964820804037e-11 +/- 2.76e-91]
trow 2 8843362671/11680000000 7441762671/9344000000 upper [-2.1273515075656106146778510736387266512450092448456595874919210965556214300708681e-11 +/- 4.18e-91]
trow 3 7441762671/9344000000 19522088013/23360000000 upper [-9.8854956497208735907086526712363362952150148143298642989371532291029580813679663e-12 +/- 4.74e-92]
trow 4 19522088013/23360000000 40879538697/46720000000 upper [-4.3515534243597478993354483216172705229875376184208432806704943431332194654523086e-12 +/- 1.66e-92]
trow 5 40879538697/46720000000 5339362671/5840000000 upper [-1.8137517551225269459325232559157146730528808179955716506068212885796701186144732e-12 +/- 6.56e-93]
trow 6 5339362671/5840000000 44550264039/46720000000 upper [-7.1519200860221575597219290802789284303525512421398643614174838669037054201347782e-13 +/- 2.69e-93]
trow 7 44550264039/46720000000 4638562671/4672000000 upper [-2.6641906707899541919368388400046367707330441817813143937046847688066424797208493e-13 +/- 2.98e-93]
trow 8 4638562671/4672000000 48220989381/46720000000 upper [-9.3552159538096847778401603596602502821007362457513938683956032478367318713268568e-14 +/- 5.69e-95]
trow 9 48220989381/46720000000 12514088013/11680000000 upper [-3.0861988572397658921701656938611799854519267838348997171311742538654897523694000e-14 +/- 1.62e-94]
trow 10 12514088013/11680000000 51891714723/46720000000 upper [-9.5142508267438785571709217694707749420528283182601854559567180256090208625443933e-15 +/- 4.25e-95]
trow 11 51891714723/46720000000 26863538697/23360000000 upper [-2.7171789248669771480110319891141630970811459217860774977207827145365098417015099e-15 +/- 3.78e-95]
