SCALED BULK SIGN ROW UNIT CWIN3P2 MID COVER
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head 2e3943f8c587a9e204a18d9ab4dcde2ebf9710f9
unit mid_cover_26_219_4_55
config CWIN 3/2 beta_order 20 t_order 25 min_dt 1/100000 prec 180
beta_domain 219/4 55
t_domain 3/5 342575197/110000000
cache_entries 267
dependency scripts/run_surface_scaled_bulk_cwin3p2_mid_cover.py sha256 ec105ab8a24be741cc3dc7f5d3dd77a684f1234c1cdc7b15062b8dcb5c980249
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-COVER-48P25-69-PREREG-20260722.md sha256 40149697fbb5dc15822b7346c3218bb59789095b37107dc13869f2414a90ee9e
trow 0 3/5 2388575197/3520000000 upper [-1.0326862818115173363396364640884190294667761785260285926313953305448720525786713e-10 +/- 1.16e-90]
trow 1 2388575197/3520000000 1332575197/1760000000 upper [-1.7231029650661316687283370750366115120817472277528596049841144046196835392768996e-11 +/- 1.55e-91]
trow 2 1332575197/1760000000 1121375197/1408000000 upper [-2.0299287860408945971003351225409623166845283070536919873782928521165769363209042e-11 +/- 3.62e-91]
trow 3 1121375197/1408000000 2941725591/3520000000 upper [-9.3890071791480868437492636844663929294239581846080786609380819189395194842071186e-12 +/- 3.46e-92]
trow 4 2941725591/3520000000 6160026379/7040000000 upper [-4.1124796238506079156661509275298595393418264160625033409608203493429122118245563e-12 +/- 1.02e-93]
trow 5 6160026379/7040000000 804575197/880000000 upper [-1.7049748129294183122994100170952117336225158451617375343514915912348677081099261e-12 +/- 3.32e-92]
trow 6 804575197/880000000 6713176773/7040000000 upper [-6.6844075594448554945801781878527665251334515302147273868586980534176738360666362e-13 +/- 3.06e-93]
trow 7 6713176773/7040000000 698975197/704000000 upper [-2.4745223216959878944314445899242461505862311865301730078499498812202661533544667e-13 +/- 8.20e-94]
trow 8 698975197/704000000 660575197/640000000 upper [-8.6297744148632234419493879322548858674064161788034682671388614371234205382745105e-14 +/- 4.73e-94]
trow 9 660575197/640000000 1885725591/1760000000 upper [-2.8251348410464471992388402689510097641552368394039032025844340882774721359985269e-14 +/- 2.03e-94]
trow 10 1885725591/1760000000 7819477561/7040000000 upper [-8.6330757780958669659925105144555146027243663798315239476315688312916864096176824e-15 +/- 1.03e-95]
trow 11 7819477561/7040000000 4048026379/3520000000 upper [-2.4396061647615311836700713335630036216153199223175938324089648091899912420546739e-15 +/- 2.55e-95]
