SCALED BULK SIGN ROW UNIT82 TERMINAL ORDER30 SLICE
python 3.12.6
python_flint 0.9.0
arb_bits 220
git_head 5af9e9c8b4f6b62b967552ffa01920fddf9194fc
unit slice2
config CWIN 3/2 beta_order 30 t_order 35 min_dt 1/100000 prec 220
beta_domain 1101/16 1103/16
t_domain 3/5 34411767481/11030000000
dependency scripts/run_surface_g2_unit82_terminal_slice.py sha256 0bb37f799e1547ee1ef5964e67aea0bf2ad62546f031f7e5a02341c5c4a40cbe
dependency scripts/run_surface_scaled_bulk_cwin3p2_unit82_rescue_order30_slice.py sha256 823936a50539062514b4f5901add0f05d0bc3b3e35c4a1ec6c19fadab19c57b9
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
trow 0 3/5 239569767481/352960000000 upper [-4.3531492213488444517084160172906096083570696579574174955532331230746825208378516e-12 +/- 3.86e-92]
trow 1 239569767481/352960000000 506933302443/705920000000 upper [-9.5031169747924531726305862041592607396314939912398608445871069887207765163706856e-12 +/- 4.71e-92]
trow 2 506933302443/705920000000 133681767481/176480000000 upper [-3.8789887477854459290029260927800751941972638157063888505936886725027735118296369e-12 +/- 9.99e-94]
trow 3 133681767481/176480000000 112504167481/141184000000 upper [-1.4726377805225394364705346082019436958715435822598247282337355162567940758290592e-12 +/- 3.29e-92]
trow 4 112504167481/141184000000 295157302443/352960000000 upper [-5.1884689833342303143380205813644853787721641824745951208672478845021859685307624e-13 +/- 2.29e-93]
trow 5 295157302443/352960000000 618108372367/705920000000 upper [-1.6901730716174843409680687566784005736095348918879503576250476509852820087951382e-13 +/- 8.20e-94]
trow 6 618108372367/705920000000 80737767481/88240000000 upper [-5.0591438096385936456592010781393484921276321442601132430064134498982427235037248e-14 +/- 3.90e-94]
trow 7 80737767481/88240000000 673695907329/705920000000 upper [-1.3766053858660917329852832830899333188058898226334030231185943686659991988093701e-14 +/- 2.30e-94]
trow 8 673695907329/705920000000 70148967481/70592000000 upper [-3.3368583591310050669615421264707910195328849791265225766476160819830628563004939e-15 +/- 3.85e-95]
trow 9 70148967481/70592000000 729283442291/705920000000 upper [-6.8936267594986484304953204353632904268525884718889183628298035027931693675913678e-16 +/- 1.09e-96]
trow 10 729283442291/705920000000 189269302443/176480000000 upper [-1.0659844724659729627200002173594995782306060444452183581320345172233733310646927e-16 +/- 3.00e-96]
trow 11 189269302443/176480000000 784870977253/705920000000 upper [-4.5893000114266923557021070791022343553325880649960717449513417500851262138668896e-18 +/- 2.26e-98]
