SCALED BULK SIGN ROW UNIT82 TERMINAL ORDER30 SLICE
python 3.12.6
python_flint 0.9.0
arb_bits 220
git_head 5af9e9c8b4f6b62b967552ffa01920fddf9194fc
unit slice3
config CWIN 3/2 beta_order 30 t_order 35 min_dt 1/100000 prec 220
beta_domain 1103/16 69
t_domain 3/5 717566321/230000000
dependency scripts/run_surface_g2_unit82_terminal_slice.py sha256 0bb37f799e1547ee1ef5964e67aea0bf2ad62546f031f7e5a02341c5c4a40cbe
dependency scripts/run_surface_scaled_bulk_cwin3p2_unit82_rescue_order30_slice.py sha256 823936a50539062514b4f5901add0f05d0bc3b3e35c4a1ec6c19fadab19c57b9
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
trow 0 3/5 4995566321/7360000000 upper [-4.5195330504957264123041757870092028446362666728935815887907391203619411882641633e-12 +/- 2.42e-92]
trow 1 4995566321/7360000000 10570698963/14720000000 upper [-9.4712694625095229551840965733255155497581893593500199948699898291464156991811326e-12 +/- 1.81e-92]
trow 2 10570698963/14720000000 2787566321/3680000000 upper [-3.8704056301431012152839613367749018928534015363110766451493825729617939546214522e-12 +/- 3.53e-92]
trow 3 2787566321/3680000000 2345966321/2944000000 upper [-1.4720300376324227181156932755909767157730342979770479750029830604031804463785090e-12 +/- 1.16e-92]
trow 4 2345966321/2944000000 6154698963/7360000000 upper [-5.2007065483034123948436209875290363484429993938984503942390369961339102787233056e-13 +/- 2.77e-93]
trow 5 6154698963/7360000000 12888964247/14720000000 upper [-1.7013462913385204556645648981065922256849068469827687085655392621791333507780434e-13 +/- 4.22e-94]
trow 6 12888964247/14720000000 1683566321/1840000000 upper [-5.1261541970786468829250886319216701869852706355983801460451882214647538278438469e-14 +/- 1.67e-94]
trow 7 1683566321/1840000000 14048096889/14720000000 upper [-1.4096781639600774786786521516818188192746829024563003697799204038534219459317800e-14 +/- 4.82e-94]
trow 8 14048096889/14720000000 1462766321/1472000000 upper [-3.4800766256256275774938985314754915506545091407580662548303010105525957962060841e-15 +/- 4.51e-95]
trow 9 1462766321/1472000000 15207229531/14720000000 upper [-7.4530569396904861531300057001145767767915719702362773709317821178349399812072486e-16 +/- 5.99e-97]
trow 10 15207229531/14720000000 3946698963/3680000000 upper [-1.2660103527075759725728682736569713126441973864373757200200377508062551585157163e-16 +/- 1.13e-96]
trow 11 3946698963/3680000000 16366362173/14720000000 upper [-1.1194035070952515549063523047479843087604233160650987578584617182443525019295620e-17 +/- 2.60e-97]
