THEOREM_B_MPMATH_CANONICAL_TRANSCRIPT
status CERTIFIED
statement Crit(beta)<0 for beta in [1/20,3], with the complete-shell tail closure
command python scripts/certify_thmB.py 0.05 3 100
git_head_at_execution b8acb0710060a6404eaf07bf247e6e06d6a2c594
source_sha256 scripts/certify_thmB.py C181AE7A8A65BCFF7C87869BC779FE15713A1ABC986CA1AB89BFD46C45F72689
source_sha256_lf scripts/certify_thmB.py C7724A5BD47CEAFE880978A7849D08B7CF9F6DE05A443D4414D515429E8F3299
python 3.12.6
mpmath 1.3.0
  box [0.0500, 0.1422] certified
  box [0.1422, 0.2344] certified
  box [0.2344, 0.4188] certified
  box [0.4188, 0.6031] certified
  box [0.6031, 0.7875] certified
  box [0.7875, 0.9719] certified
  box [0.9719, 1.1562] certified
  box [1.1562, 1.3406] certified
  box [1.3406, 1.5250] certified
  box [1.5250, 1.7094] certified
  box [1.7094, 1.8016] certified
  box [1.8016, 1.8938] certified
  box [1.8938, 1.9859] certified
  box [1.9859, 2.0781] certified
  box [2.0781, 2.1703] certified
  box [2.1703, 2.2625] certified
  box [2.2625, 2.3086] certified
  box [2.3086, 2.3547] certified
  box [2.3547, 2.4008] certified
  box [2.4008, 2.4469] certified
  box [2.4469, 2.4930] certified
  box [2.4930, 2.5391] certified
  box [2.5391, 2.5852] certified
  box [2.5852, 2.6313] certified
  box [2.6313, 2.6543] certified
  box [2.6543, 2.6773] certified
  box [2.6773, 2.7004] certified
  box [2.7004, 2.7234] certified
  box [2.7234, 2.7465] certified
  box [2.7465, 2.7695] certified
  box [2.7695, 2.7926] certified
  box [2.7926, 2.8156] certified
  box [2.8156, 2.8387] certified
  box [2.8387, 2.8502] certified
  box [2.8502, 2.8617] certified
  box [2.8617, 2.8732] certified
  box [2.8732, 2.8848] certified
  box [2.8848, 2.8963] certified
  box [2.8963, 2.9078] certified
  box [2.9078, 2.9193] certified
  box [2.9193, 2.9309] certified
  box [2.9309, 2.9424] certified
  box [2.9424, 2.9481] certified
  box [2.9481, 2.9539] certified
  box [2.9539, 2.9597] certified
  box [2.9597, 2.9654] certified
  box [2.9654, 2.9712] certified
  box [2.9712, 2.9770] certified
  box [2.9770, 2.9827] certified
  box [2.9827, 2.9885] certified
  box [2.9885, 2.9942] certified
  box [2.9942, 2.9971] certified
  box [2.9971, 3.0000] certified
pass 1: CERTIFIED Crit < 0 on [0.05, 3], 53 boxes (prec=100)
pass 2: all 53 boxes re-certified at prec=170  (STABLE)
