SOURCE_DATE_EPOCH=1785614400
{
  "status": "BUILT-NOT-INDEPENDENTLY-AUDITED",
  "final_pdf": "2512.0073v2-supersession.pdf",
  "final_sha256": "b2d00306919d567d99978bd586d52b49c182d476a626093c13ed36f406b0a1e7",
  "final_bytes": 947905,
  "final_pages": 24,
  "notice_pages": 2,
  "historical_pdf": "2512.0073v1-public.pdf",
  "historical_sha256": "6fcfe5275362944c31c4587dde38ff1784386c5a9377a64b92f8ea2edd196ff6",
  "historical_pages": 22,
  "successor_pdf": "2601.0023v2-successor.pdf",
  "successor_sha256": "871fcced1cf481047c650541f2d1285388f8708a67bb3c32c6d997fce932a819"
}
